x,y,value,group,label,facet,source,target,weight,lower,upper
RET,KIF5B-RET,217.0,,RET,Known fusion,RET,KIF5B-RET,217.0,187.17987256901807,246.82012743098193
EWSR1,EWSR1-FLI1,218.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,218.0,188.17987256901807,247.82012743098193
ALK,EML4-ALK,219.0,,ALK,Known fusion,ALK,EML4-ALK,219.0,189.17987256901807,248.82012743098193
RET,KIF5B-RET,220.0,,RET,Known fusion,RET,KIF5B-RET,220.0,190.17987256901807,249.82012743098193
RET,Intergenic-RET,221.0,,RET,Potential fusion,RET,Intergenic-RET,221.0,191.17987256901807,250.82012743098193
ALK,EML4-ALK,222.0,,ALK,Known fusion,ALK,EML4-ALK,222.0,192.17987256901807,251.82012743098193
RET,KIF5B-RET,223.0,,RET,Known fusion,RET,KIF5B-RET,223.0,193.17987256901807,252.82012743098193
RAF1,ATG7-RAF1,224.0,,RAF1,Known fusion,RAF1,ATG7-RAF1,224.0,194.17987256901807,253.82012743098193
ALK,Intergenic-ALK,225.0,,ALK,Potential fusion,ALK,Intergenic-ALK,225.0,195.17987256901807,254.82012743098193
ALK,EML4-ALK,226.0,,ALK,Known fusion,ALK,EML4-ALK,226.0,196.17987256901807,255.82012743098193
MET,CD47-MET,227.0,,MET,Known fusion,MET,CD47-MET,227.0,197.17987256901807,256.8201274309819
PDGFB,TTC28-PDGFB,228.0,,PDGFB,Rarely reported fusion,PDGFB,TTC28-PDGFB,228.0,198.17987256901807,257.8201274309819
ALK,EML4-ALK,229.0,,ALK,Known fusion,ALK,EML4-ALK,229.0,199.17987256901807,258.8201274309819
ALK,EML4-ALK,230.0,,ALK,Known fusion,ALK,EML4-ALK,230.0,200.17987256901807,259.8201274309819
ALK,EML4-ALK,231.0,,ALK,Known fusion,ALK,EML4-ALK,231.0,201.17987256901807,260.8201274309819
ALK,EML4-ALK,232.0,,ALK,Known fusion,ALK,EML4-ALK,232.0,202.17987256901807,261.8201274309819
ALK,EML4-ALK,233.0,,ALK,Known fusion,ALK,EML4-ALK,233.0,203.17987256901807,262.8201274309819
ROS1,GOPC-ROS1,234.0,,ROS1,Known fusion,ROS1,GOPC-ROS1,234.0,204.17987256901807,263.8201274309819
ALK,EML4-ALK,235.0,,ALK,Known fusion,ALK,EML4-ALK,235.0,205.17987256901807,264.8201274309819
ALK,EML4-ALK,236.0,,ALK,Known fusion,ALK,EML4-ALK,236.0,206.17987256901807,265.8201274309819
ALK,EML4-ALK,237.0,,ALK,Known fusion,ALK,EML4-ALK,237.0,207.17987256901807,266.8201274309819
ALK,ACYP2-ALK,238.0,,ALK,Rarely reported fusion,ALK,ACYP2-ALK,238.0,208.17987256901807,267.8201274309819
BRD4,BRD4-NUTM1,239.0,,BRD4,Known fusion,BRD4,BRD4-NUTM1,239.0,209.17987256901807,268.8201274309819
FGFR2,FGFR2-ARHGAP24,240.0,,FGFR2,Rarely reported fusion,FGFR2,FGFR2-ARHGAP24,240.0,210.17987256901807,269.8201274309819
ALK,CTNNA2-ALK,241.0,,ALK,Rarely reported fusion,ALK,CTNNA2-ALK,241.0,211.17987256901807,270.8201274309819
ALK,EML4-ALK,242.0,,ALK,Known fusion,ALK,EML4-ALK,242.0,212.17987256901807,271.8201274309819
FUS,FUS-DDIT3,243.0,,FUS,Known fusion,FUS,FUS-DDIT3,243.0,213.17987256901807,272.8201274309819
FGFR2,FGFR2-BTBD16,244.0,,FGFR2,Rarely reported fusion,FGFR2,FGFR2-BTBD16,244.0,214.17987256901807,273.8201274309819
ALK,EML4-ALK,245.0,,ALK,Known fusion,ALK,EML4-ALK,245.0,215.17987256901807,274.8201274309819
RET,CCDC6-RET,246.0,,RET,Known fusion,RET,CCDC6-RET,246.0,216.17987256901807,275.8201274309819
FUS,FUS-DDIT3,247.0,,FUS,Known fusion,FUS,FUS-DDIT3,247.0,217.17987256901807,276.8201274309819
PDGFB,COL1A1-PDGFB,248.0,,PDGFB,Known fusion,PDGFB,COL1A1-PDGFB,248.0,218.17987256901807,277.8201274309819
ALK,EML4-ALK,249.0,,ALK,Known fusion,ALK,EML4-ALK,249.0,219.17987256901807,278.8201274309819
EWSR1,EWSR1-NR4A3,250.0,,EWSR1,Known fusion,EWSR1,EWSR1-NR4A3,250.0,220.17987256901807,279.8201274309819
NTRK3,ETV6-NTRK3,251.0,,NTRK3,Known fusion,NTRK3,ETV6-NTRK3,251.0,221.17987256901807,280.8201274309819
SS18,SS18-SSX1,252.0,,SS18,Known fusion,SS18,SS18-SSX1,252.0,222.17987256901807,281.8201274309819
ROS1,TJP1-ROS1,253.0,,ROS1,Rarely reported fusion,ROS1,TJP1-ROS1,253.0,223.17987256901807,282.8201274309819
ROS1,CD74-ROS1,254.0,,ROS1,Known fusion,ROS1,CD74-ROS1,254.0,224.17987256901807,283.8201274309819
ROS1,SDC4-ROS1,255.0,,ROS1,Known fusion,ROS1,SDC4-ROS1,255.0,225.17987256901807,284.8201274309819
ALK,DCTN1-ALK,256.0,,ALK,Known fusion,ALK,DCTN1-ALK,256.0,226.17987256901807,285.8201274309819
EWSR1,EWSR1-FLI1,257.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,257.0,227.17987256901807,286.8201274309819
ALK,EML4-ALK,258.0,,ALK,Known fusion,ALK,EML4-ALK,258.0,228.17987256901807,287.8201274309819
EWSR1,EWSR1-FLI1,259.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,259.0,229.17987256901807,288.8201274309819
ALK,EML4-ALK,260.0,,ALK,Known fusion,ALK,EML4-ALK,260.0,230.17987256901807,289.8201274309819
ALK,EML4-ALK,261.0,,ALK,Known fusion,ALK,EML4-ALK,261.0,231.17987256901807,290.8201274309819
ETV6,ETV6-CACNA1C,262.0,,ETV6,Rarely reported fusion,ETV6,ETV6-CACNA1C,262.0,232.17987256901807,291.8201274309819
ALK,EML4-ALK,263.0,,ALK,Known fusion,ALK,EML4-ALK,263.0,233.17987256901807,292.8201274309819
ALK,EML4-ALK,264.0,,ALK,Known fusion,ALK,EML4-ALK,264.0,234.17987256901807,293.8201274309819
FUS,FUS-DDIT3,265.0,,FUS,Known fusion,FUS,FUS-DDIT3,265.0,235.17987256901807,294.8201274309819
EWSR1,EWSR1-FLI1,266.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,266.0,236.17987256901807,295.8201274309819
ALK,EML4-ALK,267.0,,ALK,Known fusion,ALK,EML4-ALK,267.0,237.17987256901807,296.8201274309819
ALK,EML4-ALK,268.0,,ALK,Known fusion,ALK,EML4-ALK,268.0,238.17987256901807,297.8201274309819
ROS1,TPM3-ROS1,269.0,,ROS1,Known fusion,ROS1,TPM3-ROS1,269.0,239.17987256901807,298.8201274309819
PRKACA,DNAJB1-PRKACA,270.0,,PRKACA,Known fusion,PRKACA,DNAJB1-PRKACA,270.0,240.17987256901807,299.8201274309819
ALK,EML4-ALK,271.0,,ALK,Known fusion,ALK,EML4-ALK,271.0,241.17987256901807,300.8201274309819
ALK,EML4-ALK,272.0,,ALK,Known fusion,ALK,EML4-ALK,272.0,242.17987256901807,301.8201274309819
EWSR1,EWSR1-ATF1,273.0,,EWSR1,Known fusion,EWSR1,EWSR1-ATF1,273.0,243.17987256901807,302.8201274309819
ROS1,MSN-ROS1,274.0,,ROS1,Known fusion,ROS1,MSN-ROS1,274.0,244.17987256901807,303.8201274309819
RET,CCDC6-RET,275.0,,RET,Known fusion,RET,CCDC6-RET,275.0,245.17987256901807,304.8201274309819
ALK,KIF5B-ALK,276.0,,ALK,Known fusion,ALK,KIF5B-ALK,276.0,246.17987256901807,305.8201274309819
ALK,EML4-ALK,277.0,,ALK,Known fusion,ALK,EML4-ALK,277.0,247.17987256901807,306.8201274309819
PDGFB,COL1A1-PDGFB,278.0,,PDGFB,Known fusion,PDGFB,COL1A1-PDGFB,278.0,248.17987256901807,307.8201274309819
ALK,EML4-ALK,279.0,,ALK,Known fusion,ALK,EML4-ALK,279.0,249.17987256901807,308.8201274309819
ALK,EML4-ALK,280.0,,ALK,Known fusion,ALK,EML4-ALK,280.0,250.17987256901807,309.8201274309819
ALK,Intergenic-ALK,281.0,,ALK,Potential fusion,ALK,Intergenic-ALK,281.0,251.17987256901807,310.8201274309819
ALK,EML4-ALK,282.0,,ALK,Known fusion,ALK,EML4-ALK,282.0,252.17987256901807,311.8201274309819
FUS,FUS-DDIT3,283.0,,FUS,Known fusion,FUS,FUS-DDIT3,283.0,253.17987256901807,312.8201274309819
SS18,SS18-SSX1,284.0,,SS18,Known fusion,SS18,SS18-SSX1,284.0,254.17987256901807,313.8201274309819
BRAF,CNTNAP2-BRAF,285.0,,BRAF,Known fusion,BRAF,CNTNAP2-BRAF,285.0,255.17987256901807,314.8201274309819
ALK,EML4-ALK,286.0,,ALK,Known fusion,ALK,EML4-ALK,286.0,256.1798725690181,315.8201274309819
NTRK1,TPM3-NTRK1,287.0,,NTRK1,Known fusion,NTRK1,TPM3-NTRK1,287.0,257.1798725690181,316.8201274309819
ROS1,SLC34A2-ROS1,288.0,,ROS1,Known fusion,ROS1,SLC34A2-ROS1,288.0,258.1798725690181,317.8201274309819
FGFR2,FGFR2-CTNNA3,289.0,,FGFR2,Known fusion,FGFR2,FGFR2-CTNNA3,289.0,259.1798725690181,318.8201274309819
TFE3,ASPSCR1-TFE3,290.0,,TFE3,Known fusion,TFE3,ASPSCR1-TFE3,290.0,260.1798725690181,319.8201274309819
ROS1,EZR-ROS1,291.0,,ROS1,Known fusion,ROS1,EZR-ROS1,291.0,261.1798725690181,320.8201274309819
ALK,Intergenic-ALK,292.0,,ALK,Potential fusion,ALK,Intergenic-ALK,292.0,262.1798725690181,321.8201274309819
MET,KIF13B-MET,293.0,,MET,Rarely reported fusion,MET,KIF13B-MET,293.0,263.1798725690181,322.8201274309819
SS18,SS18-SSX1,294.0,,SS18,Known fusion,SS18,SS18-SSX1,294.0,264.1798725690181,323.8201274309819
ALK,EML4-ALK,295.0,,ALK,Known fusion,ALK,EML4-ALK,295.0,265.1798725690181,324.8201274309819
ALK,ALK-Intragenic,296.0,,ALK,Potential fusion,ALK,ALK-Intragenic,296.0,266.1798725690181,325.8201274309819
CREBBP,CREBBP-SLX4,297.0,,CREBBP,Known fusion,CREBBP,CREBBP-SLX4,297.0,267.1798725690181,326.8201274309819
RET,NCOA4-RET,298.0,,RET,Known fusion,RET,NCOA4-RET,298.0,268.1798725690181,327.8201274309819
TFE3,ASPSCR1-TFE3,299.0,,TFE3,Known fusion,TFE3,ASPSCR1-TFE3,299.0,269.1798725690181,328.8201274309819
SS18,SS18-SSX1,300.0,,SS18,Known fusion,SS18,SS18-SSX1,300.0,270.1798725690181,329.8201274309819
EWSR1,EWSR1-CREB3L2,301.0,,EWSR1,Known fusion,EWSR1,EWSR1-CREB3L2,301.0,271.1798725690181,330.8201274309819
TFE3,ASPSCR1-TFE3,302.0,,TFE3,Known fusion,TFE3,ASPSCR1-TFE3,302.0,272.1798725690181,331.8201274309819
NTRK1,TPM3-NTRK1,303.0,,NTRK1,Known fusion,NTRK1,TPM3-NTRK1,303.0,273.1798725690181,332.8201274309819
ALK,EML4-ALK,304.0,,ALK,Known fusion,ALK,EML4-ALK,304.0,274.1798725690181,333.8201274309819
ALK,EML4-ALK,305.0,,ALK,Known fusion,ALK,EML4-ALK,305.0,275.1798725690181,334.8201274309819
ALK,EML4-ALK,306.0,,ALK,Known fusion,ALK,EML4-ALK,306.0,276.1798725690181,335.8201274309819
FGFR2,FGFR2-INA,307.0,,FGFR2,Known fusion,FGFR2,FGFR2-INA,307.0,277.1798725690181,336.8201274309819
